i,i,i
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,12,1
13,13,1
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,19,1
20,20,1
21,21,1
22,22,1
23,23,1
24,24,1
25,25,1
26,26,1
27,27,1
28,28,1
29,29,1
30,30,1
31,31,1
32,32,1
33,33,1
34,34,1
35,35,1
36,36,1
37,37,1
38,38,1
39,39,1
40,40,1
41,41,1
42,42,1
43,43,1
44,44,1
45,45,1
46,46,1
47,47,1
48,48,1
49,49,1
50,50,1
51,1,2
52,2,2
53,3,2
54,4,2
55,5,2
56,6,2
57,7,2
58,8,2
59,9,2
60,10,2
61,11,2
62,12,2
63,13,2
64,14,2
65,15,2
66,16,2
67,17,2
68,18,2
69,19,2
70,20,2
71,21,2
72,22,2
73,23,2
74,24,2
75,25,2
76,26,2
77,27,2
78,28,2
79,29,2
80,30,2
81,31,2
82,32,2
83,33,2
84,34,2
85,35,2
86,36,2
87,37,2
88,38,2
89,39,2
90,40,2
91,41,2
92,42,2
93,43,2
94,44,2
95,45,2
96,46,2
97,47,2
98,48,2
99,49,2
100,50,2
101,1,3
102,2,3
103,3,3
104,4,3
105,5,3
106,6,3
107,7,3
108,8,3
109,9,3
110,10,3
111,11,3
112,12,3
113,13,3
114,14,3
115,15,3
116,16,3
117,17,3
118,18,3
119,19,3
120,20,3
121,21,3
122,22,3
123,23,3
124,24,3
125,25,3
126,26,3
127,27,3
128,28,3
129,29,3
130,30,3
131,31,3
132,32,3
133,33,3
134,34,3
135,35,3
136,36,3
137,37,3
138,38,3
139,39,3
140,40,3
141,41,3
142,42,3
143,43,3
144,44,3
145,45,3
146,46,3
147,47,3
148,48,3
149,49,3
150,50,3
151,1,4
152,2,4
153,3,4
154,4,4
155,5,4
156,6,4
157,7,4
158,8,4
159,9,4
160,10,4
161,11,4
162,12,4
163,13,4
164,14,4
165,15,4
166,16,4
167,17,4
168,18,4
169,19,4
170,20,4
171,21,4
172,22,4
173,23,4
174,24,4
175,25,4
176,26,4
177,27,4
178,28,4
179,29,4
180,30,4
181,31,4
182,32,4
183,33,4
184,34,4
185,35,4
186,36,4
187,37,4
188,38,4
189,39,4
190,40,4
191,41,4
192,42,4
193,43,4
194,44,4
195,45,4
196,46,4
197,47,4
198,48,4
199,49,4
200,50,4
201,1,5
202,2,5
203,3,5
204,4,5
205,5,5
206,6,5
207,7,5
208,8,5
209,9,5
210,10,5
211,11,5
212,12,5
213,13,5
214,14,5
215,15,5
216,16,5
217,17,5
218,18,5
219,19,5
220,20,5
221,21,5
222,22,5
223,23,5
224,24,5
225,25,5
226,26,5
227,27,5
228,28,5
229,29,5
230,30,5
231,31,5
232,32,5
233,33,5
234,34,5
235,35,5
236,36,5
237,37,5
238,38,5
239,39,5
240,40,5
241,41,5
242,42,5
243,43,5
244,44,5
245,45,5
246,46,5
247,47,5
248,48,5
249,49,5
250,50,5
251,1,6
252,2,6
253,3,6
254,4,6
255,5,6
256,6,6
257,7,6
258,8,6
259,9,6
260,10,6
261,11,6
262,12,6
263,13,6
264,14,6
265,15,6
266,16,6
267,17,6
268,18,6
269,19,6
270,20,6
271,21,6
272,22,6
273,23,6
274,24,6
275,25,6
276,26,6
277,27,6
278,28,6
279,29,6
280,30,6
281,31,6
282,32,6
283,33,6
284,34,6
285,35,6
286,36,6
287,37,6
288,38,6
289,39,6
290,40,6
291,41,6
292,42,6
293,43,6
294,44,6
295,45,6
296,46,6
297,47,6
298,48,6
299,49,6
300,50,6
301,1,7
302,2,7
303,3,7
304,4,7
305,5,7
306,6,7
307,7,7
308,8,7
309,9,7
310,10,7
311,11,7
312,12,7
313,13,7
314,14,7
315,15,7
316,16,7
317,17,7
318,18,7
319,19,7
320,20,7
321,21,7
322,22,7
323,23,7
324,24,7
325,25,7
326,26,7
327,27,7
328,28,7
329,29,7
330,30,7
331,31,7
332,32,7
333,33,7
334,34,7
335,35,7
336,36,7
337,37,7
338,38,7
339,39,7
340,40,7
341,41,7
342,42,7
343,43,7
344,44,7
345,45,7
346,46,7
347,47,7
348,48,7
349,49,7
350,50,7
351,1,8
352,2,8
353,3,8
354,4,8
355,5,8
356,6,8
357,7,8
358,8,8
359,9,8
360,10,8
361,11,8
362,12,8
363,13,8
364,14,8
365,15,8
366,16,8
367,17,8
368,18,8
369,19,8
370,20,8
371,21,8
372,22,8
373,23,8
374,24,8
375,25,8
376,26,8
377,27,8
378,28,8
379,29,8
380,30,8
381,31,8
382,32,8
383,33,8
384,34,8
385,35,8
386,36,8
387,37,8
388,38,8
389,39,8
390,40,8
391,41,8
392,42,8
393,43,8
394,44,8
395,45,8
396,46,8
397,47,8
398,48,8
399,49,8
400,50,8
401,1,9
402,2,9
403,3,9
404,4,9
